Bulan,Used_Car_Transaction
01/01/2014,635800
01/02/2014,613513
01/03/2014,649313
01/04/2014,658105
01/05/2014,659305
01/06/2014,607736
01/07/2014,677955
01/08/2014,662660
01/09/2014,646339
01/10/2014,618856
01/11/2014,567151
01/12/2014,436396
01/01/2015,643413
01/02/2015,630045
01/03/2015,607623
01/04/2015,683303
01/05/2015,685839
01/06/2015,626001
01/07/2015,699104
01/08/2015,666658
01/09/2015,625389
01/10/2015,703401
01/11/2015,604555
01/12/2015,464684
01/01/2016,688087
01/02/2016,702115
01/03/2016,673472
01/04/2016,760308
01/05/2016,723413
01/06/2016,633647
01/07/2016,720146
01/08/2016,722880
01/09/2016,705024
01/10/2016,725820
01/11/2016,641119
01/12/2016,504053
01/01/2017,698467
01/02/2017,689042
01/03/2017,746447
01/04/2017,717710
01/05/2017,719227
01/06/2017,665217
01/07/2017,731640
01/08/2017,702866
01/09/2017,667572
01/10/2017,686661
01/11/2017,623507
01/12/2017,464664
01/01/2018,688430
01/02/2018,658901
01/03/2018,684330
01/04/2018,705774
01/05/2018,720092
01/06/2018,667563
01/07/2018,700392
01/08/2018,708614
01/09/2018,648451
01/10/2018,691035
01/11/2018,614047
01/12/2018,457411
01/01/2019,676871
01/02/2019,646111
01/03/2019,697162
01/04/2019,690034
01/05/2019,700703
01/06/2019,643499
01/07/2019,713352
01/08/2019,705457
01/09/2019,657573
01/10/2019,689575
01/11/2019,635662
01/12/2019,479106
01/01/2020,696707
01/02/2020,672242
01/03/2020,482970
01/04/2020,177898
01/05/2020,330554
01/06/2020,530851
01/07/2020,744818
01/08/2020,725034
01/09/2020,698747
01/10/2020,715149
01/11/2020,519142
01/12/2020,458847
01/01/2021,507632
01/02/2021,541553
01/03/2021,638570
01/04/2021,724743
01/05/2021,769782
01/06/2021,672979
01/07/2021,708326
01/08/2021,682293
01/09/2021,643844
01/10/2021,653913
01/11/2021,575421
01/12/2021,411900
01/01/2022,597715
01/02/2022,581533
01/03/2022,595103
01/04/2022,603341
01/05/2022,608661
01/06/2022,547682
01/07/2022,608571
01/08/2022,614526
01/09/2022,562350
01/10/2022,607849
01/11/2022,548410
01/12/2022,415036
01/01/2023,619301
01/02/2023,606890
01/03/2023,620958
01/04/2023,613540
01/05/2023,626649
01/06/2023,592078
